carrier_code,flight_date,flight_number,tail_number,origin_airport,destination_airport,scheduled_departure_time,actual_departure_time,scheduled_elapsed_minutes,actual_elapsed_minutes,departure_delay_minutes,wheels_off_time,taxi_out_minutes,carrier_delay_minutes,weather_delay_minutes,nas_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes,is_cancelled
WN,2023-06-05,3255.0,N8730Q,ATL,CLE,17:25,17:37,100.0,110.0,12.0,18:05,28.0,0.0,0.0,10.0,0.0,12.0,0
WN,2024-11-20,1754.0,N8856S,ATL,DAL,09:15,09:11,145.0,143.0,-4.0,09:34,23.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-02-23,885.0,N8650F,ATL,MCO,21:50,22:23,85.0,73.0,33.0,22:31,8.0,20.0,0.0,0.0,0.0,1.0,0
WN,2024-09-24,1003.0,N7882B,ATL,TPA,11:10,11:08,85.0,74.0,-2.0,11:18,10.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-12-01,1099.0,N938WN,ATL,JAX,21:45,22:03,70.0,56.0,18.0,22:15,12.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-11-22,965.0,N8547V,ATL,HOU,12:55,13:03,140.0,122.0,8.0,13:16,13.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-12-12,1917.0,N8747Q,ATL,SRQ,21:50,21:51,90.0,82.0,1.0,22:01,10.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-04-30,5547.0,N793SA,ATL,AUS,15:00,15:00,145.0,133.0,0.0,15:11,11.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-11-24,2115.0,N8803L,ATL,PBI,10:25,10:28,120.0,96.0,3.0,10:40,12.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-08-06,4401.0,N8317M,ATL,MEM,08:45,08:54,85.0,76.0,9.0,09:13,19.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-08-04,3648.0,N8565Z,ATL,OAK,12:40,12:49,295.0,280.0,9.0,13:02,13.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-06-03,6849.0,N551WN,ATL,LAS,12:45,13:02,265.0,254.0,17.0,13:11,9.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-08-21,1778.0,N8728Q,ATL,BWI,13:20,13:29,100.0,106.0,9.0,13:42,13.0,9.0,0.0,6.0,0.0,0.0,0
WN,2024-08-09,261.0,N248WN,ATL,MDW,13:55,14:06,115.0,100.0,11.0,14:19,13.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-01-01,850.0,N268WN,ATL,MCO,06:55,06:53,85.0,84.0,-2.0,07:06,13.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-01-01,1670.0,N8525S,ATL,MIA,21:50,22:13,110.0,92.0,23.0,22:21,8.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-07-09,4850.0,N473WN,ATL,RDU,21:45,22:13,85.0,81.0,28.0,22:25,12.0,0.0,0.0,0.0,0.0,24.0,0
WN,2022-03-19,3506.0,N8621A,ATL,MCI,13:15,14:34,130.0,113.0,79.0,14:43,9.0,62.0,0.0,0.0,0.0,0.0,0
WN,2023-09-05,499.0,N8852Q,ATL,LGA,06:15,06:11,130.0,128.0,-4.0,06:25,14.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-03-14,1599.0,N8520Q,ATL,MDW,06:40,06:42,115.0,103.0,2.0,06:53,11.0,0.0,0.0,0.0,0.0,0.0,0
WN,2025-03-31,373.0,N8862Q,ATL,AUS,07:55,07:58,155.0,157.0,3.0,08:08,10.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-12-23,2097.0,N8665D,ATL,LAS,21:10,21:06,275.0,265.0,-4.0,21:25,19.0,0.0,0.0,0.0,0.0,0.0,0
WN,2025-11-29,398.0,N8572X,ATL,LGA,16:15,16:19,130.0,123.0,4.0,16:29,10.0,0.0,0.0,0.0,0.0,0.0,0
